sync_index,person_id,Nose_px,Nose_py,L_Eye_px,L_Eye_py,R_Eye_px,R_Eye_py,L_Ear_px,L_Ear_py,R_Ear_px,R_Ear_py,L_Shoulder_px,L_Shoulder_py,R_Shoulder_px,R_Shoulder_py,L_Elbow_px,L_Elbow_py,R_Elbow_px,R_Elbow_py,L_Wrist_px,L_Wrist_py,R_Wrist_px,R_Wrist_py,L_Hip_px,L_Hip_py,R_Hip_px,R_Hip_py,L_Knee_px,L_Knee_py,R_Knee_px,R_Knee_py,L_Ankle_px,L_Ankle_py,R_Ankle_px,R_Ankle_py,sternum_px,sternum_py,rshoulder_px,rshoulder_py,lshoulder_px,lshoulder_py,r_lelbow_px,r_lelbow_py,l_lelbow_px,l_lelbow_py,r_melbow_px,r_melbow_py,l_melbow_px,l_melbow_py,r_lwrist_px,r_lwrist_py,l_lwrist_px,l_lwrist_py,r_mwrist_px,r_mwrist_py,l_mwrist_px,l_mwrist_py,r_ASIS_px,r_ASIS_py,l_ASIS_px,l_ASIS_py,r_PSIS_px,r_PSIS_py,l_PSIS_px,l_PSIS_py,r_knee_px,r_knee_py,l_knee_px,l_knee_py,r_mknee_px,r_mknee_py,l_mknee_px,l_mknee_py,r_ankle_px,r_ankle_py,l_ankle_px,l_ankle_py,r_mankle_px,r_mankle_py,l_mankle_px,l_mankle_py,r_5meta_px,r_5meta_py,l_5meta_px,l_5meta_py,r_toe_px,r_toe_py,l_toe_px,l_toe_py,r_big_toe_px,r_big_toe_py,l_big_toe_px,l_big_toe_py,l_calc_px,l_calc_py,r_calc_px,r_calc_py,C7_px,C7_py,L2_px,L2_py,T11_px,T11_py,T6_px,T6_py
73361,0,,,,,,,,,,,,,,,641.5658,214.8195,602.6117,217.3954,633.7695,230.8127,591.3762,233.6869,623.5142,232.7998,605.6594,234.2032,618.7746,276.5631,604.6103,276.7122,617.8003,313.5887,609.3058,313.8651,,,,,,,597.3120,217.6265,,,607.4571,217.2863,642.8256,215.0599,588.9247,233.2265,632.1396,229.9040,591.6218,233.9225,636.2939,231.2887,599.5299,225.2528,619.6244,223.8288,620.3448,222.1223,629.7997,221.6415,601.8288,272.7051,622.8311,272.6287,610.4794,273.1432,611.3707,273.0616,606.5790,315.6270,621.7310,314.0925,609.9288,313.8483,615.1861,313.8972,596.4083,321.3832,617.8754,320.7656,595.2561,319.3248,610.1997,318.2078,594.5711,319.4845,604.2948,318.9472,622.1761,317.3567,614.5119,318.3663,,,624.9129,216.6940,,,,
73362,0,,,,,,,,,,,,,,,641.6530,214.7191,602.7884,217.5411,633.8725,232.7310,591.2075,233.7538,624.2258,234.3080,607.3133,233.9052,618.6617,276.7458,603.6243,277.2460,617.6635,314.7237,609.6824,313.0349,,,,,,,597.5294,217.6595,,,607.2194,217.5143,643.9099,214.8658,588.5904,233.3126,632.1793,232.0066,591.3958,233.9941,636.2423,232.9266,600.3572,224.8949,619.4109,224.1953,621.6871,221.9311,630.9924,222.3438,601.0382,273.5016,622.7003,273.0425,609.1472,273.7157,611.2884,273.9351,607.3429,315.8729,621.3752,314.2850,609.8746,313.6889,615.0636,315.2936,596.3995,322.0778,617.1141,321.4681,594.7584,320.2810,608.6692,323.8874,593.7994,319.1127,602.9790,322.3850,622.3164,318.7931,615.4825,317.7035,,,625.9036,216.0903,,,,
73363,0,,,,,,,,,,,,,,,641.1702,217.6929,602.3027,213.9980,633.8263,238.9623,590.5305,227.5378,624.0164,236.4436,605.7209,232.4133,617.9563,280.2988,603.4208,274.5830,617.3316,315.9935,609.8948,310.5003,,,,,,,,,,,608.0213,214.2095,642.9819,217.5355,588.0165,226.9404,632.2784,238.3275,590.7463,227.2948,636.1978,239.7723,599.6338,221.9064,619.5434,226.8779,620.7899,221.4540,630.2822,223.4950,600.6941,269.3706,622.2401,278.6567,609.2304,273.2571,610.4568,274.7845,607.4889,309.2897,620.8742,318.1228,610.2668,311.6860,614.7392,315.7688,596.7120,314.5127,616.6904,327.3831,595.1147,315.0235,608.5943,323.4945,593.9742,317.4135,602.7870,323.4916,622.0419,319.2930,615.6521,313.7083,,,625.0612,216.1293,,,,
73364,0,,,,,,,,,,,,,,,,,602.8387,217.4035,634.0178,232.3732,589.6850,233.4560,624.1827,235.4875,605.1622,234.4550,617.7699,280.9517,603.0775,275.0292,616.4718,315.1436,609.6370,310.6431,,,,,,,597.9068,217.5575,,,607.3739,217.3103,,,587.2441,232.9979,632.4790,231.2688,589.9536,233.6099,636.3665,232.4783,599.4285,225.2175,619.5038,226.2987,620.6369,222.5224,630.1301,223.7322,600.5100,269.6035,622.0670,279.2195,608.9844,273.8092,610.4963,274.7973,607.4135,309.2240,619.8956,317.1994,609.9157,311.8614,613.9613,314.9219,596.3862,314.1074,615.8085,326.3606,594.7860,314.3222,607.7785,322.7250,593.5949,316.3317,602.2881,322.5388,621.1855,318.8482,615.4081,314.2443,,,625.3191,216.7246,,,,
73365,0,,,,,,,,,,,,,,,641.7342,214.6370,602.8705,217.6244,634.4746,232.8471,588.9780,233.6310,624.1576,235.2444,604.1489,234.6616,617.5381,276.8020,602.8748,276.8905,614.8301,313.3444,608.4075,312.1129,,,,,,,597.9241,217.8312,641.7926,214.4402,607.0014,217.5677,643.0835,214.6444,586.5535,232.8793,632.8847,231.9907,589.1665,233.6642,636.9377,232.9340,599.0818,224.9627,620.6530,225.0401,619.7874,223.1222,629.8942,223.3912,599.8208,272.8481,622.2231,273.3030,609.1288,273.5515,609.6878,273.3376,605.7765,312.8432,618.6672,313.8363,608.8314,312.5329,612.4384,313.5838,594.6156,319.6806,615.2264,319.9121,593.6386,317.7727,607.3617,317.6279,592.7439,318.1667,601.9940,318.3993,619.6204,317.4919,613.4336,315.9402,,,624.8765,216.2272,,,,
73366,0,,,,,,,,,,,,,,,,,601.6622,217.8068,634.4230,232.2102,587.5543,233.1597,625.0538,235.5445,605.3889,234.5383,617.1029,280.7188,603.1710,275.1978,614.3402,314.2632,608.1406,310.1000,,,,,,,597.4810,218.0274,,,605.4484,217.7468,,,585.1440,232.5012,632.8298,231.2861,587.5348,233.3441,637.0568,232.4954,599.1390,224.7597,621.5486,226.1375,619.7624,222.5819,630.2096,223.4567,600.2021,269.4536,622.0266,279.1797,609.1205,273.8478,609.2757,274.6905,605.6104,308.7983,618.3576,316.1989,608.5416,311.1775,611.9157,314.0868,595.1354,314.1444,615.3014,325.9903,593.6401,314.6719,607.3228,322.6060,592.4076,316.6808,602.2648,322.4609,618.7473,317.8475,613.0890,312.7000,,,624.9137,217.1157,,,,
73367,0,,,,,,,,,,,,,,,641.5322,214.9235,599.6829,217.9986,634.5155,231.9493,585.5587,233.4287,625.1948,234.8364,605.4907,235.0356,616.4404,276.0625,602.8696,276.7598,612.5940,311.9715,607.8483,310.5656,,,,,,,596.5861,218.3093,,,603.8268,217.9218,,,583.3401,232.6439,633.0140,230.9658,585.5621,233.7358,637.0326,232.0808,599.1652,225.5773,621.7106,225.3836,619.5573,223.1840,630.0939,222.8411,599.5954,272.6313,621.5850,272.8123,609.1418,273.3512,608.4923,272.8106,605.0485,310.7394,617.0734,312.3588,608.3488,311.0457,610.0027,312.2848,594.2629,318.6147,613.9819,318.9312,593.2683,317.2789,606.4119,316.6849,592.3422,318.1028,601.2663,317.7296,616.9817,316.1125,612.2554,314.0035,,,624.4680,216.5800,,,,
73368,0,,,,,,,,,,,,,,,642.0136,214.7445,599.1887,217.8395,634.9041,231.9567,584.7085,232.8801,626.4653,235.3419,605.8622,235.1354,616.1307,276.0441,602.5920,276.5096,611.2348,312.0781,608.0425,310.2709,,,,,,,596.7822,218.1354,642.1864,214.5644,602.7822,217.8266,643.8174,214.8396,582.6359,231.7307,633.2094,230.9937,584.9125,233.0798,637.3639,232.2543,598.4940,226.0463,621.8200,226.0414,620.1503,223.4594,631.2150,223.1750,599.4909,272.6535,621.2171,273.1866,608.3003,273.4015,608.1043,273.0272,605.7024,310.2143,615.9695,312.5205,608.2387,310.7183,608.6917,312.5099,594.3334,317.8820,613.2349,319.1207,593.0045,316.4753,605.9601,316.8438,591.8773,317.1763,601.2507,317.8319,615.9967,316.3385,612.8475,313.7154,,,624.9305,216.4030,,,,
73369,0,,,,,,,,,,,,,,,641.6220,214.9917,598.2425,217.9309,634.9924,232.1218,582.9180,231.9706,626.0958,235.1245,605.8797,235.3467,616.2796,275.2747,602.1292,275.6919,611.3611,311.4396,607.5444,310.0333,,,,,,,595.9409,218.1677,642.4186,214.8129,600.9840,217.8595,643.7350,215.5128,581.5180,231.1034,633.4428,231.2068,583.4592,232.2827,637.4046,232.4038,598.2621,226.1930,621.4184,225.6720,619.7891,223.4936,630.5506,223.1965,599.0003,271.6886,621.0587,272.2797,607.7459,272.4090,608.3517,272.0291,605.0517,309.9590,615.7828,311.8939,607.8454,310.4473,608.8843,311.8379,594.2568,317.7967,612.9433,318.1438,592.9037,316.4735,605.7316,315.8432,591.7450,317.1647,600.8170,316.6214,615.9573,315.9390,612.2573,313.4329,,,624.5790,217.1840,,,,
73370,0,,,,,,,,,,,,,,,641.7042,214.9939,596.9733,218.0224,634.8738,231.2718,579.6044,231.9701,625.6417,234.5737,605.4180,234.7375,616.7044,275.4667,601.5980,275.5695,611.5534,312.5129,607.0588,310.9778,,,,,,,595.3329,218.2933,642.7449,214.8189,599.1425,217.9293,643.9397,214.8968,577.3985,231.3306,633.3249,230.7099,580.4742,232.2629,637.2103,231.9340,597.8916,225.7304,620.9348,225.4129,619.5037,223.0466,630.0764,222.9713,598.6307,271.3136,621.6586,272.5330,607.0534,272.3773,608.8885,272.4072,604.7712,310.9110,615.9307,312.9909,607.4049,311.3525,608.9519,312.9813,594.1619,318.3044,612.9344,319.2364,592.7895,316.8610,605.5777,316.6965,591.4973,317.3994,600.5825,317.2623,616.0769,317.1153,611.6568,314.8992,,,624.4992,217.3777,,,,
