sync_index,person_id,Nose_X,Nose_Y,Nose_Z,L_Eye_X,L_Eye_Y,L_Eye_Z,R_Eye_X,R_Eye_Y,R_Eye_Z,L_Ear_X,L_Ear_Y,L_Ear_Z,R_Ear_X,R_Ear_Y,R_Ear_Z,L_Shoulder_X,L_Shoulder_Y,L_Shoulder_Z,R_Shoulder_X,R_Shoulder_Y,R_Shoulder_Z,L_Elbow_X,L_Elbow_Y,L_Elbow_Z,R_Elbow_X,R_Elbow_Y,R_Elbow_Z,L_Wrist_X,L_Wrist_Y,L_Wrist_Z,R_Wrist_X,R_Wrist_Y,R_Wrist_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,sternum_X,sternum_Y,sternum_Z,rshoulder_X,rshoulder_Y,rshoulder_Z,lshoulder_X,lshoulder_Y,lshoulder_Z,r_lelbow_X,r_lelbow_Y,r_lelbow_Z,l_lelbow_X,l_lelbow_Y,l_lelbow_Z,r_melbow_X,r_melbow_Y,r_melbow_Z,l_melbow_X,l_melbow_Y,l_melbow_Z,r_lwrist_X,r_lwrist_Y,r_lwrist_Z,l_lwrist_X,l_lwrist_Y,l_lwrist_Z,r_mwrist_X,r_mwrist_Y,r_mwrist_Z,l_mwrist_X,l_mwrist_Y,l_mwrist_Z,r_ASIS_X,r_ASIS_Y,r_ASIS_Z,l_ASIS_X,l_ASIS_Y,l_ASIS_Z,r_PSIS_X,r_PSIS_Y,r_PSIS_Z,l_PSIS_X,l_PSIS_Y,l_PSIS_Z,r_knee_X,r_knee_Y,r_knee_Z,l_knee_X,l_knee_Y,l_knee_Z,r_mknee_X,r_mknee_Y,r_mknee_Z,l_mknee_X,l_mknee_Y,l_mknee_Z,r_ankle_X,r_ankle_Y,r_ankle_Z,l_ankle_X,l_ankle_Y,l_ankle_Z,r_mankle_X,r_mankle_Y,r_mankle_Z,l_mankle_X,l_mankle_Y,l_mankle_Z,r_5meta_X,r_5meta_Y,r_5meta_Z,l_5meta_X,l_5meta_Y,l_5meta_Z,r_toe_X,r_toe_Y,r_toe_Z,l_toe_X,l_toe_Y,l_toe_Z,r_big_toe_X,r_big_toe_Y,r_big_toe_Z,l_big_toe_X,l_big_toe_Y,l_big_toe_Z,l_calc_X,l_calc_Y,l_calc_Z,r_calc_X,r_calc_Y,r_calc_Z,C7_X,C7_Y,C7_Z,L2_X,L2_Y,L2_Z,T11_X,T11_Y,T11_Z,T6_X,T6_Y,T6_Z
13816,0,-0.0035,-0.2389,1.0673,0.0267,-0.2627,1.0591,-0.0325,-0.2607,1.0559,0.0765,-0.2862,1.1239,-0.0694,-0.2756,1.0970,0.1586,-0.1895,1.2752,-0.1403,-0.1908,1.2512,0.3556,-0.0122,1.2363,-0.3172,0.0111,1.2918,0.3583,0.1234,1.0365,-0.1598,0.1067,1.1196,0.1220,0.2033,1.6282,-0.1125,0.2449,1.5800,0.1358,0.5922,1.6117,-0.1228,0.5658,1.4826,,,,,,,0.0111,-0.1613,1.2279,-0.1148,-0.2271,1.2274,0.1344,-0.2204,1.2535,-0.3077,-0.0198,1.2457,0.3580,-0.0416,1.2069,-0.3386,0.0345,1.3131,0.3678,0.0010,1.2579,-0.1457,0.0823,1.1166,0.3402,0.1101,1.0344,-0.1778,0.1070,1.1087,0.3762,0.1139,1.0254,-0.1082,0.1669,1.4819,0.1248,0.1320,1.5286,-0.0671,0.0997,1.7212,0.0535,0.0823,1.7329,-0.2010,0.5682,1.5985,0.2218,0.5245,1.5136,-0.0409,0.5341,1.4159,0.2327,0.7237,1.8626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0099,-0.2826,1.2770,-0.0098,-0.0162,1.6547,-0.0001,-0.1688,1.5439,0.0037,-0.2492,1.4137
13817,1,-0.0033,-0.2376,1.0654,0.0268,-0.2623,1.0582,-0.0325,-0.2605,1.0554,0.0767,-0.2864,1.1237,-0.0697,-0.2763,1.0981,0.1578,-0.1904,1.2744,-0.1402,-0.1913,1.2508,0.3551,-0.0127,1.2366,-0.3168,0.0100,1.2921,0.3585,0.1227,1.0377,-0.1601,0.1064,1.1195,0.1252,0.2058,1.6273,-0.1113,0.2479,1.5811,0.1561,0.5496,1.4999,-0.1275,0.5688,1.4873,,,,,,,0.0112,-0.1615,1.2280,-0.1150,-0.2275,1.2280,0.1339,-0.2209,1.2527,-0.3079,-0.0208,1.2469,0.3575,-0.0423,1.2075,-0.3379,0.0334,1.3130,0.3672,0.0010,1.2581,-0.1462,0.0818,1.1166,0.3402,0.1093,1.0361,-0.1782,0.1068,1.1087,0.3762,0.1127,1.0264,-0.1050,0.1678,1.4806,0.1279,0.1335,1.5296,-0.0630,0.1024,1.7174,0.0575,0.0866,1.7340,-0.1998,0.5715,1.5993,0.2240,0.5250,1.5065,-0.0378,0.5301,1.4022,0.2326,0.7292,1.8651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0093,-0.2829,1.2784,-0.0068,-0.0134,1.6545,0.0002,-0.1663,1.5415,0.0036,-0.2477,1.4124
13818,1,-0.0033,-0.2376,1.0665,0.0269,-0.2624,1.0580,-0.0325,-0.2607,1.0558,0.0768,-0.2865,1.1233,-0.0704,-0.2768,1.0987,0.1580,-0.1901,1.2751,-0.1404,-0.1913,1.2512,0.3553,-0.0129,1.2372,-0.3168,0.0099,1.2914,0.3585,0.1225,1.0370,-0.1605,0.1060,1.1200,0.1252,0.2077,1.6334,-0.1129,0.2512,1.5890,0.1564,0.5492,1.4947,-0.1355,0.5758,1.5010,,,,,,,0.0113,-0.1613,1.2282,-0.1150,-0.2275,1.2281,0.1344,-0.2207,1.2532,-0.3080,-0.0213,1.2465,0.3577,-0.0425,1.2078,-0.3378,0.0337,1.3126,0.3675,0.0010,1.2588,-0.1467,0.0812,1.1167,0.3404,0.1091,1.0356,-0.1787,0.1065,1.1092,0.3761,0.1127,1.0257,-0.1051,0.1696,1.4858,0.1278,0.1360,1.5345,-0.0630,0.1043,1.7236,0.0563,0.0884,1.7415,-0.1622,0.5607,1.4883,0.2242,0.5247,1.4994,-0.0413,0.5352,1.4094,0.2341,0.7312,1.8643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0094,-0.2830,1.2800,-0.0076,-0.0133,1.6614,-0.0002,-0.1662,1.5459,0.0038,-0.2478,1.4152
13819,1,-0.0036,-0.2376,1.0669,0.0266,-0.2624,1.0581,-0.0328,-0.2607,1.0565,0.0769,-0.2871,1.1235,-0.0706,-0.2769,1.0994,0.1580,-0.1904,1.2752,-0.1407,-0.1912,1.2525,0.3549,-0.0131,1.2367,-0.3170,0.0096,1.2914,0.3583,0.1224,1.0375,-0.1607,0.1059,1.1201,0.1260,0.2098,1.6277,-0.1150,0.2536,1.5888,0.1568,0.5487,1.4916,-0.1310,0.6096,1.5562,,,,,,,0.0112,-0.1616,1.2281,-0.1155,-0.2276,1.2297,0.1343,-0.2212,1.2537,-0.3084,-0.0216,1.2468,0.3571,-0.0428,1.2074,-0.3378,0.0333,1.3121,0.3670,0.0009,1.2587,-0.1468,0.0810,1.1168,0.3402,0.1089,1.0359,-0.1788,0.1063,1.1093,0.3761,0.1126,1.0261,-0.1062,0.1707,1.4855,0.1266,0.1371,1.5249,-0.0638,0.1079,1.7268,0.0556,0.0928,1.7446,-0.1621,0.5664,1.4945,0.2235,0.5236,1.4919,-0.0418,0.5409,1.4169,0.2330,0.7323,1.8645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0093,-0.2835,1.2828,-0.0087,-0.0088,1.6640,-0.0010,-0.1636,1.5491,0.0036,-0.2465,1.4177
13820,1,-0.0039,-0.2374,1.0668,0.0265,-0.2623,1.0582,-0.0331,-0.2606,1.0562,0.0765,-0.2873,1.1237,-0.0712,-0.2770,1.0996,0.1577,-0.1911,1.2749,-0.1404,-0.1918,1.2526,0.3544,-0.0130,1.2358,-0.3171,0.0094,1.2921,0.3584,0.1225,1.0377,-0.1609,0.1060,1.1203,0.1255,0.2083,1.6228,-0.1144,0.2524,1.5874,0.1562,0.5460,1.4871,-0.1283,0.6321,1.5958,,,,,,,0.0112,-0.1619,1.2274,-0.1154,-0.2279,1.2298,0.1341,-0.2217,1.2541,-0.3087,-0.0217,1.2477,0.3569,-0.0426,1.2064,-0.3378,0.0330,1.3128,0.3663,0.0010,1.2575,-0.1469,0.0812,1.1169,0.3403,0.1089,1.0360,-0.1790,0.1065,1.1095,0.3761,0.1127,1.0263,-0.1060,0.1700,1.4825,0.1263,0.1365,1.5225,-0.0630,0.1078,1.7222,0.0561,0.0943,1.7388,-0.1602,0.5653,1.4934,0.2258,0.5225,1.4938,-0.0002,0.5353,1.3987,0.2287,0.7270,1.8535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0090,-0.2840,1.2839,-0.0086,-0.0092,1.6620,-0.0013,-0.1638,1.5507,0.0037,-0.2471,1.4182
13821,1,-0.0039,-0.2374,1.0674,0.0265,-0.2624,1.0583,-0.0332,-0.2607,1.0568,0.0767,-0.2876,1.1239,-0.0710,-0.2770,1.0995,0.1573,-0.1912,1.2741,-0.1406,-0.1917,1.2525,0.3544,-0.0130,1.2359,-0.3172,0.0094,1.2916,0.3581,0.1226,1.0379,-0.1609,0.1058,1.1202,0.1259,0.2094,1.6251,-0.1153,0.2524,1.5861,0.1566,0.5470,1.4872,-0.1416,0.5817,1.5177,,,,,,,0.0112,-0.1620,1.2274,-0.1152,-0.2278,1.2297,0.1336,-0.2218,1.2534,-0.3087,-0.0217,1.2471,0.3569,-0.0426,1.2066,-0.3377,0.0329,1.3125,0.3663,0.0011,1.2578,-0.1469,0.0809,1.1168,0.3401,0.1091,1.0364,-0.1790,0.1062,1.1095,0.3758,0.1129,1.0266,-0.1063,0.1702,1.4826,0.1265,0.1368,1.5255,-0.0639,0.1080,1.7223,0.0553,0.0937,1.7418,-0.1615,0.5608,1.4895,0.2247,0.5232,1.4936,0.0004,0.5359,1.4016,0.2308,0.7299,1.8631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0088,-0.2834,1.2823,-0.0092,-0.0081,1.6629,-0.0026,-0.1632,1.5503,0.0029,-0.2467,1.4161
13822,1,-0.0042,-0.2377,1.0679,0.0264,-0.2626,1.0585,-0.0334,-0.2608,1.0567,0.0774,-0.2877,1.1258,-0.0708,-0.2771,1.0990,0.1578,-0.1910,1.2746,-0.1402,-0.1925,1.2529,0.3543,-0.0132,1.2359,-0.3171,0.0096,1.2920,0.3582,0.1227,1.0375,-0.1609,0.1060,1.1206,0.1245,0.2077,1.6164,-0.1149,0.2503,1.5838,0.1571,0.5456,1.4850,-0.1478,0.5185,1.4076,,,,,,,0.0113,-0.1622,1.2276,-0.1150,-0.2283,1.2299,0.1341,-0.2215,1.2543,-0.3085,-0.0215,1.2479,0.3570,-0.0428,1.2071,-0.3378,0.0333,1.3122,0.3661,0.0008,1.2574,-0.1468,0.0811,1.1176,0.3403,0.1093,1.0363,-0.1790,0.1065,1.1097,0.3759,0.1130,1.0264,-0.1069,0.1679,1.4777,0.1252,0.1361,1.5185,-0.0632,0.1069,1.7154,0.0549,0.0936,1.7289,-0.1618,0.5583,1.4884,0.2212,0.5216,1.4858,0.0006,0.5346,1.4051,0.2270,0.7221,1.8442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0095,-0.2837,1.2822,-0.0094,-0.0085,1.6553,-0.0016,-0.1636,1.5485,0.0035,-0.2470,1.4156
13823,1,-0.0042,-0.2374,1.0682,0.0262,-0.2625,1.0586,-0.0333,-0.2607,1.0570,0.0772,-0.2875,1.1261,-0.0708,-0.2767,1.0995,0.1573,-0.1916,1.2747,-0.1403,-0.1922,1.2528,0.3540,-0.0132,1.2358,-0.3169,0.0095,1.2918,0.3581,0.1226,1.0374,-0.1611,0.1056,1.1201,0.1253,0.2088,1.6204,-0.1147,0.2514,1.5850,0.1566,0.5478,1.4877,-0.1334,0.5730,1.4976,,,,,,,0.0113,-0.1622,1.2281,-0.1151,-0.2276,1.2296,0.1336,-0.2219,1.2543,-0.3084,-0.0217,1.2477,0.3566,-0.0427,1.2065,-0.3376,0.0333,1.3125,0.3658,0.0007,1.2577,-0.1471,0.0806,1.1168,0.3402,0.1092,1.0362,-0.1792,0.1061,1.1095,0.3759,0.1129,1.0263,-0.1062,0.1694,1.4810,0.1255,0.1359,1.5211,-0.0639,0.1085,1.7190,0.0549,0.0935,1.7345,-0.1612,0.5621,1.4920,0.2230,0.5255,1.4977,0.0015,0.5339,1.4018,0.2263,0.7218,1.8418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0091,-0.2832,1.2830,-0.0102,-0.0070,1.6563,-0.0023,-0.1622,1.5479,0.0029,-0.2461,1.4152
13824,1,-0.0041,-0.2375,1.0688,0.0264,-0.2625,1.0590,-0.0331,-0.2609,1.0576,0.0771,-0.2874,1.1263,-0.0706,-0.2769,1.0996,0.1572,-0.1915,1.2749,-0.1402,-0.1924,1.2532,0.3539,-0.0133,1.2359,-0.3170,0.0096,1.2916,0.3581,0.1225,1.0374,-0.1610,0.1056,1.1202,0.1235,0.2082,1.6183,-0.1152,0.2507,1.5852,0.1569,0.5469,1.4881,-0.1332,0.5729,1.4991,,,,,,,0.0112,-0.1622,1.2284,-0.1148,-0.2277,1.2299,0.1336,-0.2218,1.2549,-0.3084,-0.0215,1.2475,0.3567,-0.0428,1.2068,-0.3376,0.0334,1.3123,0.3655,0.0008,1.2577,-0.1470,0.0805,1.1170,0.3403,0.1090,1.0363,-0.1791,0.1061,1.1094,0.3756,0.1128,1.0262,-0.1067,0.1684,1.4799,0.1242,0.1343,1.5215,-0.0657,0.1081,1.7193,0.0511,0.0884,1.7356,-0.1610,0.5608,1.4904,0.2233,0.5251,1.4996,0.0017,0.5350,1.4051,0.2259,0.7203,1.8401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0092,-0.2834,1.2835,-0.0120,-0.0067,1.6548,-0.0032,-0.1623,1.5484,0.0027,-0.2464,1.4163
13825,1,-0.0038,-0.2370,1.0675,0.0264,-0.2623,1.0588,-0.0331,-0.2606,1.0568,0.0771,-0.2876,1.1262,-0.0704,-0.2767,1.0984,0.1572,-0.1914,1.2741,-0.1394,-0.1929,1.2512,0.3538,-0.0135,1.2361,-0.3166,0.0094,1.2915,0.3580,0.1225,1.0373,-0.1610,0.1056,1.1201,0.1238,0.2100,1.6151,-0.1152,0.2509,1.5804,0.1567,0.5468,1.4890,-0.1318,0.5708,1.4929,,,,,,,0.0114,-0.1621,1.2277,-0.1142,-0.2280,1.2285,0.1335,-0.2218,1.2544,-0.3081,-0.0217,1.2477,0.3563,-0.0429,1.2067,-0.3373,0.0332,1.3116,0.3655,0.0006,1.2581,-0.1468,0.0805,1.1171,0.3401,0.1089,1.0362,-0.1791,0.1061,1.1095,0.3756,0.1128,1.0264,-0.1058,0.1683,1.4752,0.1238,0.1353,1.5173,-0.0647,0.1088,1.7144,0.0512,0.0915,1.7277,-0.1613,0.5609,1.4904,0.2234,0.5255,1.5009,0.0004,0.5343,1.4063,0.2267,0.7211,1.8433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097,-0.2829,1.2822,-0.0124,-0.0026,1.6449,-0.0028,-0.1606,1.5437,0.0030,-0.2456,1.4137
